quote_number,revision_number,status,created,due_date,sent_date,expired_date,expired,rfq_number,priority,private_notes,authenticated_pdf_quote_url
7200,0,expired,2025-02-27T16:38:50.827082+00:00,2025-03-11T17:00:00+00:00,2025-03-11T13:53:41.022639+00:00,2025-03-29T16:38:50.814835+00:00,True,BID0029158,2,"G:\Bell Helicopter\20250226 - BID0029158

No quote uploaded into S2B portal on 03/12/2025",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/2068f634-6733-466c-bd42-cd8c14945560/Quote7200.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=6i8IMIcrYzjWW36nQMQHLrpYbmk%3D&Expires=1750372379
7201,0,accepted,2025-02-27T16:42:13.619751+00:00,2025-03-10T17:00:00+00:00,2025-03-10T18:52:53.620441+00:00,2025-03-29T16:42:13.606913+00:00,True,BID0029172,2,"G:\Bell Helicopter\20250227 - BID0029172

Quote uploaded into S2B portal 03/12/2025",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/19346c96-5c50-48b7-95be-97d66b917e3c/Quote7201.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=7Q8fk4U8G%2FOw3i3tPKzfO%2BK4yo8%3D&Expires=1750372379
7202,0,expired,2025-02-27T16:59:33.488835+00:00,2025-03-10T17:00:00+00:00,2025-03-10T15:07:52.532321+00:00,2025-03-29T16:59:33.473122+00:00,True,BID0029160,2,"G:\Bell Helicopter\20250226 - BID0029160

No bid submitted into S2B portal on 03/10",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/6f1760c6-182a-495b-b336-d66105809f63/Quote7202.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=U%2BWV%2BG0lg%2BxZq7FuMGFM8OOrPHU%3D&Expires=1750372385
7204,0,expired,2025-02-27T16:59:59.895036+00:00,2025-03-10T17:00:00+00:00,2025-03-10T14:31:46.466582+00:00,2025-03-29T16:59:59.883666+00:00,True,BID0029175,2,"G:\Bell Helicopter\20250226 - BID0029175

Bid submitted into S2B portal on 03/10",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/f7e3be70-3604-447a-87dd-c16f1e9e69bc/Quote7204.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=L6KtQJ%2FS7jHYOFTA%2F1KBOsPTTOw%3D&Expires=1750372386
7205,0,expired,2025-02-27T17:36:51.048821+00:00,2025-03-09T17:00:00+00:00,2025-03-06T19:08:07.757567+00:00,2025-04-10T12:00:00+00:00,True,405252,1,"G:\Applied Materials\20250227 - 405252

EAU 1800",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/838630b5-77cd-4281-8e48-46a660a042c3/Quote7205.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=0SaXe%2BGTaNAnDtux49u6VW%2Bdpd8%3D&Expires=1750372390
7207,0,trash,2025-02-27T21:16:00.212288+00:00,2025-03-02T21:16:00.203160+00:00,,2025-03-29T21:16:00.201423+00:00,True,425-03568,,File Location here.,
7208,0,expired,2025-02-28T14:19:23.358759+00:00,2025-03-14T17:00:00+00:00,2025-04-14T13:34:50.129812+00:00,2025-05-23T12:00:00+00:00,True,405345,2,G:\Applied Materials\20250227 - 405345,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/8eb1318a-b635-471e-8c3a-6a9ca06ebedf/Quote7208.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=NOhAzAqvppDK9711TQnGnfn%2Fd%2Bo%3D&Expires=1750372388
7209,0,expired,2025-02-28T14:23:04.731428+00:00,2025-03-14T17:00:00+00:00,2025-03-26T18:57:29.408456+00:00,2025-04-30T12:00:00+00:00,True,405348,2,"G:\Applied Materials\20250227 - 405348

0023-39864 (Old 0023-27143)
EAU 1800",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/9088e71c-4962-4760-affe-8abe9aca7f69/Quote7209.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=IS%2FQ86zVtzgpFqwvPKTd4EinY7k%3D&Expires=1750372383
7210,0,expired,2025-02-28T14:36:58.893820+00:00,2025-03-10T17:00:00+00:00,2025-03-06T13:33:10.065497+00:00,2025-04-10T12:00:00+00:00,True,BID0029184,10,"G:\Bell Helicopter\20250227 - BID0029184

No bid submitted into S2B portal on 03/06/2025",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/b27a6124-166d-4d9c-b046-c76704c9cee1/Quote7210.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=%2Bj%2FETzdE89MxOq9E70Vgpbk%2F5ik%3D&Expires=1750372379
7211,0,expired,2025-02-28T14:37:53.130986+00:00,2025-03-10T17:00:00+00:00,2025-03-10T13:26:45.328859+00:00,2025-03-30T14:37:53.117247+00:00,True,BID0029185,2,"G:\Bell Helicopter\20250227 - BID0029185

Bid submitted into S2B portal on 03/10",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/22857f95-8024-4dad-a11e-1bf2c318c808/Quote7211.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=%2Fek0tKoDf9fRoHaxtSgjtsodCKg%3D&Expires=1750372388
7212,0,trash,2025-02-28T15:05:54.027927+00:00,2025-03-10T17:00:00+00:00,,2025-03-30T15:05:54.014535+00:00,True,RFQ0006635,,"G:\Bell Helicopter\20250227 - RFQ0006635

QTY 8
Deleting quote, customer said this was sent in error",
7213,0,expired,2025-02-28T15:11:08.626087+00:00,2025-03-10T17:00:00+00:00,2025-03-10T13:08:48.022804+00:00,2025-03-30T15:11:08.610737+00:00,True,BID0029186,2,"G:\Bell Helicopter\20250227 - BID0029186

Bid submitted into S2B portal on 03/10",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/30c6db72-98ca-4d37-871e-538c9ba4c8d0/Quote7213.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=dsskflFzCzbhJ0HBPB1j5nWY8Fo%3D&Expires=1750372381
7214,0,expired,2025-02-28T15:12:11.070798+00:00,2025-03-10T17:00:00+00:00,2025-03-07T20:28:59.702113+00:00,2025-03-30T15:12:11.057348+00:00,True,BID0029194,2,"G:\Bell Helicopter\20250227 - BID0029194

No bid submitted into S2B portal on 03/10",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/23b3670d-4177-4a04-ad8a-622053a8639f/Quote7214.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=A8b7dqZbedSQyIt3HOTVqgXxM9s%3D&Expires=1750372381
7215,0,expired,2025-02-28T15:33:18.944925+00:00,2025-03-03T15:33:18.933419+00:00,2025-03-24T18:13:45.166437+00:00,2025-04-24T12:00:00+00:00,True,SNG,1,G:\Applied Materials\20250131 - SNG drawings,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/5e9b998f-a0ab-4ab2-82cd-3c6961422cf0/Quote7215.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=8bHe2WPbAd3Naza%2BBAcfU9jm0Qw%3D&Expires=1750372387
7216,0,expired,2025-03-03T16:22:17.190172+00:00,2025-03-13T17:00:00+00:00,2025-03-12T16:39:08.962608+00:00,2025-04-02T16:22:17.175218+00:00,True,BID0029199,2,"G:\Bell Helicopter\20250228 - BID0029199

Quote uploaded into S2B portal 03/13",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/7e3b6d8a-4919-4fb6-8824-afbe6f994b3c/Quote7216.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=%2BA2zNKLxgUADhXlAirnX9P1%2Bltk%3D&Expires=1750372385
7217,0,expired,2025-03-03T16:22:30.399749+00:00,2025-03-13T17:00:00+00:00,2025-03-12T17:41:48.202604+00:00,2025-04-02T16:22:30.386853+00:00,True,BID0029200,2,"G:\Bell Helicopter\20250228 - BID0029200

Quote uploaded into S2B portal 03/13
It is the same as BID0029199",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/92f403fb-3c41-44d0-9f4d-3acee16f7af1/Quote7217.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=3fYNVJ0qHIGRJYU1XtSvjHV9ZT0%3D&Expires=1750372381
