quote_number,revision_number,status,created,due_date,sent_date,expired_date,expired,rfq_number,priority,private_notes,authenticated_pdf_quote_url
7700,0,outstanding,2025-05-12T14:47:36.190456+00:00,2025-05-16T17:00:00+00:00,2025-05-19T18:38:25.943158+00:00,2025-06-19T12:00:00+00:00,False,New Rev of HVPDU Panel & Bus BARS,1,G:\Hyliion\20250509 - New Rev of HVPDU Panel & Bus BARS,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/f6fe0f41-eb7a-49af-9c90-820d5d617b58/Quote7700.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=Xhmi%2Fd5%2BeJHJp2M6J4PcejcsCHw%3D&Expires=1750374256
7701,0,expired,2025-05-12T14:58:20.709624+00:00,2025-05-16T17:00:00+00:00,2025-05-14T21:33:59.554377+00:00,2025-06-11T14:58:20.693653+00:00,True,Q08199,,G:\Projects Unlimited\20250509 - Q08199,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/e18d0479-aa64-4472-8da3-addd791a20b3/Quote7701.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=fdd9d65xCVXIcx0dCPio%2F%2Fbxlyw%3D&Expires=1750374254
7702,0,expired,2025-05-12T15:18:13.952432+00:00,2025-05-23T17:00:00+00:00,2025-05-23T13:47:18.352211+00:00,2025-06-11T15:18:13.935086+00:00,True,CA-1349253,,G:\Boeing\20250509 - CA-1349253,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/51f0795d-2083-46d5-b4e8-ac0a1558e943/Quote7702.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=%2B2N0aQclOHMtW2WEHQrWmn32HM0%3D&Expires=1750374254
7703,0,draft,2025-05-12T15:24:17.537727+00:00,2025-05-19T17:00:00+00:00,,2025-06-11T15:24:17.522212+00:00,True,BCA-2025-127898,3,"G:\Boeing\20250512 - BCA-2025-127898

Total contract QTY displayed",
7704,0,expired,2025-05-12T15:35:25.285193+00:00,2025-05-22T17:00:00+00:00,2025-05-22T14:21:03.070125+00:00,2025-06-11T15:35:25.270694+00:00,True,BID0030698,,"G:\Bell Helicopter\20250509 - BID0030698

Quote submitted in S2B portal 05/22/25",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/c28e07cd-e3a6-4ef5-9122-a7c28dfa9415/Quote7704.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=JXHNQP5bWIhQq%2Be6dvvw8a9ggU8%3D&Expires=1750374254
7705,0,expired,2025-05-12T15:35:55.034381+00:00,2025-05-22T17:00:00+00:00,2025-05-22T14:32:34.198995+00:00,2025-06-11T15:35:55.023016+00:00,True,BID0030699,,"G:\Bell Helicopter\20250509 -BID0030699

No quote submitted in S2B portal 05/22/25",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/f511b80d-55de-484a-94fa-0c642c1aa3bd/Quote7705.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=hRy3BunEmSABi9Vgqqlp99vqyPM%3D&Expires=1750374254
7706,0,expired,2025-05-12T15:36:34.887181+00:00,2025-05-22T17:00:00+00:00,2025-05-22T14:50:30.440777+00:00,2025-06-11T15:36:34.875231+00:00,True,BID0030702,,"G:\Bell Helicopter\20250509 - BID0030702

No quote submitted in S2B portal 05/22/25",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/932852d5-8ad1-4cb9-a9cf-ea7cf129bf88/Quote7706.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=QkVRrDoZ0iB0BsHo%2Bp3GP2SWXJ4%3D&Expires=1750374261
7707,0,trash,2025-05-12T23:14:51.494253+00:00,2025-05-15T23:14:51.485431+00:00,,2025-06-11T23:14:51.483986+00:00,True,,,"This is a request for info regarding our capabilities, not an RFQ.

Contact name: HENRIETTE OSTRZEGA
Contact email: HenrietteO@berkshireharthaway.com
Contact business name: BERKSHIRE HATHAWAY INC
Contact phone: (941) 381-2020
Contact has requested the parts be delivered by 05/22/2025.
Tell us how you found us (e.g. email, a colleague, Google search, etc.): Google
Contact notes:
 	I am writing to inquire about your product\services offerings and manufacturing locations. Please provide relevant details.

Upon receipt, I will forward our technical specifications and requirements.

File Location here.",
7708,0,expired,2025-05-13T12:50:37.867863+00:00,2025-05-23T17:00:00+00:00,2025-05-23T12:34:53.797058+00:00,2025-06-12T12:50:37.857228+00:00,True,BID0030758,9,"G:\Bell Helicopter\20250512 - BID0030758

Quote entered in S2B portal on 05/20/25 -- used numbers from quote #7627",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/b8cf7400-f687-47e3-a080-8995436a5564/Quote7708.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=W4VHVvv%2BIf3B5WBMN8wmk8j2sa8%3D&Expires=1750374257
7709,0,expired,2025-05-13T12:52:30.064391+00:00,2025-05-23T17:00:00+00:00,2025-05-23T14:31:25.872106+00:00,2025-06-12T12:52:30.052502+00:00,True,BID0030757,,"G:\Bell Helicopter\20250512 - BID0030757

See quote 7624.
Quote submitted in S2B portal 05/23/25",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/3fe3abd3-c1f7-4cd5-9e59-d924f27b42dd/Quote7709.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=W1RCLIkRgN7U5xmvQFZu09JzbGI%3D&Expires=1750374262
