quote_number,revision_number,status,created,due_date,sent_date,expired_date,expired,rfq_number,priority,private_notes,authenticated_pdf_quote_url
7900,0,draft,2025-06-10T14:23:56.378436+00:00,2025-06-18T17:00:00+00:00,,2025-07-10T14:23:56.362959+00:00,False,CA-1355842,,G:\Boeing\20250606 - CA-1355842,
7901,0,draft,2025-06-10T14:37:37.933618+00:00,2025-06-20T17:00:00+00:00,,2025-07-10T14:37:37.917611+00:00,False,BID0031279,,G:\Bell Helicopter\20250609 - BID0031279,
7902,0,draft,2025-06-10T14:48:15.328955+00:00,2025-06-20T17:00:00+00:00,,2025-07-10T14:48:15.311805+00:00,False,BID0031280,,G:\Bell Helicopter\20250609 - BID0031280,
7903,0,draft,2025-06-10T14:55:39.594644+00:00,2025-06-20T17:00:00+00:00,,2025-07-10T14:55:39.576049+00:00,False,BID0031268,,G:\Bell Helicopter\20250609 - BID0031268,
7904,0,draft,2025-06-10T15:18:43.537584+00:00,2025-06-20T17:00:00+00:00,,2025-07-10T15:18:43.522336+00:00,False,BID0031276,,G:\Bell Helicopter\20250609 - BID0031276,
7905,0,draft,2025-06-10T15:29:50.120220+00:00,2025-06-24T17:00:00+00:00,,2025-07-10T15:29:50.108321+00:00,False,BID0031290,,G:\Bell Helicopter\20250610 - BID0031290,
7906,0,draft,2025-06-10T15:36:09.030215+00:00,2025-06-24T17:00:00+00:00,,2025-07-10T15:36:09.015773+00:00,False,BID0031291,,G:\Bell Helicopter\20250610 - BID0031291,
7907,0,draft,2025-06-10T15:42:44.667509+00:00,2025-06-13T15:42:44.653443+00:00,,2025-07-10T15:42:44.651120+00:00,False,X-Bow MK 290 Igniter RFQ,1,File Location here.,
7908,0,draft,2025-06-10T16:17:40.876307+00:00,2025-06-13T17:00:00+00:00,,2025-07-10T16:17:40.861220+00:00,False,0011-03089,9,G:\Applied Materials\20240506 - 354921,
7909,0,draft,2025-06-10T17:44:00.439427+00:00,2025-06-13T17:44:00.421666+00:00,,2025-07-10T17:44:00.418489+00:00,False,589797,,"G:\Applied Materials\20250609 - 589797

Customer notes
""We haven’t created the AMAT part number for the ACE Vistara frame yet, but I’ve attached the STP files for both the welded and riveted versions. 
Could you please review the files and let us know if we can proceed with obtaining the HVM quote? 
We need to present this to the BU along with all associated HVM costs. Please confirm if the attached STP files are sufficient or if you need any additional information. Also, let us know the estimated timeline for when we can expect to receive the quote. Thanks""",
7910,0,draft,2025-06-11T14:59:30.345354+00:00,2025-06-16T17:00:00+00:00,,2025-07-11T14:59:30.331495+00:00,False,UCT RFQ - 0040-07101 - ITEM 1,,"G:\UCT\20250609 - UCT RFQ - 0040-07101 - ITEM 1

0040-07101 detail item 1, no OSP cleaning needed",
