quote_number,revision_number,status,created,due_date,sent_date,expired_date,expired,rfq_number,priority,private_notes,authenticated_pdf_quote_url
7400,0,expired,2025-03-31T14:32:46.687544+00:00,2025-04-04T17:00:00+00:00,2025-04-14T14:10:31.627507+00:00,2025-05-23T12:00:00+00:00,True,0270 parts,10,G:\Applied Materials\20250327 - 0270 parts,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/2b90eba2-2fdf-4dce-b2b4-bce8d68c08fa/Quote7400.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=cM6KR%2F9vP5rqoME6E%2BOzaZilo0o%3D&Expires=1750372522
7401,0,expired,2025-03-31T14:40:14.935449+00:00,2025-04-03T14:40:14.923872+00:00,2025-04-02T14:50:44.853559+00:00,2025-05-05T12:00:00+00:00,True,410645,10,"G:\Applied Materials\20250327 - 410645

QTY 2 EAU 20",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/f9520770-9e25-4f0d-9329-726e8b050cf8/Quote7401.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=LwV4qCsMvdawDIPPRHiPefsvaq4%3D&Expires=1750373221
7403,0,expired,2025-03-31T15:15:47.853269+00:00,2025-04-07T17:00:00+00:00,2025-04-14T13:55:30.857709+00:00,2025-05-23T12:00:00+00:00,True,410727,2,G:\Applied Materials\20250328 - 410727,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/5f0ec729-8363-4363-876a-5eb740b74e35/Quote7403.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=VNNUsJ%2BU3Oq9uzKSKPc%2Ffi5vG3s%3D&Expires=1750373221
7404,0,trash,2025-03-31T15:23:33.964698+00:00,2025-04-10T17:00:00+00:00,,2025-04-30T15:23:33.948043+00:00,True,410810,3,"G:\Applied Materials\20250328 - 410810

EAU 1800
Top drawings were not sent over but I requested them on 03/31 and 04/02 and 04/07 - CK

Deleting for now, will rev once we have files. CK",
7405,0,accepted,2025-03-31T15:31:32.713173+00:00,2025-04-09T17:00:00+00:00,2025-05-06T13:28:43.093883+00:00,2025-06-30T12:00:00+00:00,False,410849,9,"G:\Applied Materials\20250328 - 410849

Quote for Contract 
0011-10377 replacing 0011-04588 and 0010-11693",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/3fb93afb-2c9d-4d10-b02a-5d4494a98149/Quote7405.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=H4SFqXrRHuhS2lOBMDbGJxSslGo%3D&Expires=1750373224
7407,0,expired,2025-03-31T15:48:43.840486+00:00,2025-04-07T17:00:00+00:00,2025-04-07T11:29:48.322078+00:00,2025-04-30T15:48:43.826871+00:00,True,Q08125-8,9,G:\Projects Unlimited\20250329 - Q08125-8,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/2619a6e3-f92d-4db6-b0cb-922a094a8924/Quote7407.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=4nTMQGwqEdPRGD6muUHTq9SPSwc%3D&Expires=1750373224
7408,0,expired,2025-03-31T15:54:23.172425+00:00,2025-04-04T17:00:00+00:00,2025-04-04T11:50:23.264318+00:00,2025-04-30T15:54:23.157225+00:00,True,Q08125-10,9,G:\Projects Unlimited\20241010 - Q07994,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/aaaa38a3-da45-447d-91c3-ab536c5bfdae/Quote7408.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=D%2FGZHGBfNtcKbTDV2k9jakt%2BP6U%3D&Expires=1750372521
7409,0,expired,2025-03-31T16:21:30.153469+00:00,2025-04-01T17:00:00+00:00,2025-04-03T18:56:34.145803+00:00,2025-05-05T12:00:00+00:00,True,S1197886,9,G:\UCT\20250331 - S1197886,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/8f1292ff-52df-4bae-bb56-6e9759784157/Quote7409.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=Fmlf9AqdAYIwABlf18QWUz9taRI%3D&Expires=1750373229
7410,0,trash,2025-03-31T19:00:54.367449+00:00,2025-04-09T17:00:00+00:00,,2025-04-30T19:00:54.355123+00:00,True,410864,3,"G:\Applied Materials\20250328 - 410864

Customers note to us regarding my request for files
""Please allow me some time. Im working with our internal team on this. I will let you know once I have an update.""

Deleting for now, will rev once we have files. CK",
7411,0,outstanding,2025-03-31T19:01:08.247019+00:00,2025-04-09T17:00:00+00:00,2025-05-06T13:25:53.342153+00:00,2025-06-30T12:00:00+00:00,False,410590,9,"G:\Applied Materials\20250327 - 410590

QTY/EAU requested",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/6e457d48-4178-42de-9279-a30684ed3254/Quote7411.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=ZvQS6TzyADiu%2FaVMuTfOGelUbK8%3D&Expires=1750372522
