quote_number,revision_number,status,created,due_date,sent_date,expired_date,expired,rfq_number,priority,private_notes,authenticated_pdf_quote_url
7500,0,trash,2025-04-11T19:34:46.041237+00:00,2025-04-14T19:34:46.027818+00:00,,2025-05-11T19:34:46.025519+00:00,True,,,File Location here.,
7501,0,expired,2025-04-11T19:42:29.476775+00:00,2025-05-05T17:00:00+00:00,2025-04-17T15:22:59.088241+00:00,2025-05-30T12:00:00+00:00,True,BID0030001,10,"G:\Bell Helicopter\20250410 - BID0030001

No quote entered in S2B 04/22/25",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/daa716d8-9de4-4cb8-9949-bf68b7258445/Quote7501.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=CJuFL5kJv7moTP8F2XIx1NW9taU%3D&Expires=1750374085
7502,0,expired,2025-04-11T19:42:40.446322+00:00,2025-04-23T17:00:00+00:00,2025-04-23T20:52:20.498246+00:00,2025-05-11T19:42:40.436099+00:00,True,BID0030004,2,"G:\Bell Helicopter\20250410 - BID0030004

No quote entered in S2B portal 04/25/2025",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/3ad9c4cc-4c77-4b27-95c4-a8b5c37b0fb1/Quote7502.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=pNHJhPOMyPEJO2VPURYQ0bNNVXo%3D&Expires=1750374085
7503,0,trash,2025-04-11T20:07:34.561770+00:00,2025-04-14T20:07:34.551566+00:00,,2025-05-11T20:07:34.549884+00:00,True,test,,File Location here.,
7504,0,trash,2025-04-12T01:42:25.413880+00:00,2025-04-15T01:42:25.402490+00:00,,2025-05-12T01:42:25.400104+00:00,True,quote,10,"Contact name: Moritz Egretzberge
Contact email: moritz.egretzberge@biourja-europe.com
Contact business name: BioUrja Group
Contact phone: (328) 161-9700
Contact has requested the parts be delivered by 04/24/2025.
Tell us how you found us (e.g. email, a colleague, Google search, etc.): Online Ad
Contact notes:
 	Request For Product Supply

Reached out to the customer and did not get a response",
7505,0,expired,2025-04-14T14:20:48.513665+00:00,2025-05-06T17:00:00+00:00,2025-05-13T15:54:51.849602+00:00,2025-05-14T14:20:48.501405+00:00,True,RFQ 128759,3,"G:\Boeing\20250410 - RFQ 128759

Could not locate files for line 2,9,10,11,16,17,20,26,27,28,38",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/6c2ffed4-a037-4e60-ab10-cb970f0ab6da/Quote7505.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=RKdVOzEGrF%2F9FJ%2B%2BLOx5v3zRRZc%3D&Expires=1750374086
7506,0,expired,2025-04-14T16:25:49.979176+00:00,2025-04-18T17:00:00+00:00,2025-04-18T16:30:01.615204+00:00,2025-05-14T16:25:49.968720+00:00,True,RFQ 128458,3,G:\Boeing\20250411 - RFQ 128458,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/79e65546-8ba6-4a89-89e2-e1bc309cd04d/Quote7506.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=yGUhXzZJjjHBPcnmAxh1Q4tGrlE%3D&Expires=1750374092
7507,0,outstanding,2025-04-14T18:42:23.229000+00:00,2025-04-28T17:00:00+00:00,2025-05-06T13:21:50.813244+00:00,2025-06-30T12:00:00+00:00,False,413415,3,"G:\Applied Materials\20250411 - 413415

EAU = 40",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/8c418717-600b-4593-8d82-80bfcd18da0a/Quote7507.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=9xkj9So1YqRxNCNGrxgbiwCCJo0%3D&Expires=1750374094
7508,0,expired,2025-04-14T18:55:32.695873+00:00,2025-04-18T17:00:00+00:00,2025-04-25T14:27:50.774090+00:00,2025-05-30T12:00:00+00:00,True,413420,2,G:\Applied Materials\20250411 - 413420,https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/9c1ef071-4b0e-4566-b87b-9967a9216738/Quote7508.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=sBPaWVJAFRcQuHA5dkaHJDgfCKY%3D&Expires=1750374092
7510,0,outstanding,2025-04-15T14:02:44.809109+00:00,2025-04-25T17:00:00+00:00,2025-05-27T13:13:10.551056+00:00,2025-06-30T12:00:00+00:00,False,413426,2,"G:\Applied Materials\20250411 - 413426

EAU 1800",https://s3-fips.us-gov-west-1.amazonaws.com/pdfs.app.digitalmfg/quote-pdf/4faf43e9-b814-4b02-a513-5f2aeb319798/Quote7510.pdf?AWSAccessKeyId=AKIAX6ZDWWYS27SJFGFZ&Signature=5uVlxgOY8lbVsic4NRiCED9sZ%2BE%3D&Expires=1750374091
